2025-04-26 18:08:51,417 INFO    MainThread:3965 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250426_180851-30x1od6m/logs/debug.log
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250426_180851-30x1od6m/logs/debug-internal.log
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa40aeadc40>
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:init():852] calling init triggers
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'seq_len_in': 10, 'seq_len_out': 1, 'train_frac': 0.6, 'batch_size': 1, 'learning_rate': 0.0002, 'hidden_dims': (64, 64), 'kernel_size': 3, 'hi_threshold': 25.0, 'hi_weight': 30.0, 'epochs': 5, 'device': 'cuda', '_wandb': {}}
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:init():893] starting backend
2025-04-26 18:08:51,418 INFO    MainThread:3965 [wandb_init.py:init():897] sending inform_init request
2025-04-26 18:08:51,421 INFO    MainThread:3965 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-26 18:08:51,421 INFO    MainThread:3965 [wandb_init.py:init():907] backend started and connected
2025-04-26 18:08:51,425 INFO    MainThread:3965 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-04-26 18:08:52,110 INFO    MainThread:3965 [wandb_init.py:init():1002] updated telemetry
2025-04-26 18:08:52,181 INFO    MainThread:3965 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-26 18:08:52,606 INFO    MainThread:3965 [wandb_init.py:init():1101] starting run threads in backend
2025-04-26 18:08:53,978 INFO    MainThread:3965 [wandb_run.py:_console_start():2566] atexit reg
2025-04-26 18:08:53,979 INFO    MainThread:3965 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-26 18:08:53,979 INFO    MainThread:3965 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-26 18:08:53,979 INFO    MainThread:3965 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-26 18:08:53,980 INFO    MainThread:3965 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-26 18:08:53,980 INFO    MainThread:3965 [wandb_watch.py:_watch():71] Watching
2025-04-26 18:08:53,994 INFO    MainThread:3965 [wandb_run.py:_finish():2314] finishing run johnpierrew-Ludwig MaximilianUniversity of Munich/radar-forecasting/30x1od6m
2025-04-26 18:08:53,994 INFO    MainThread:3965 [jupyter.py:save_history():477] not saving jupyter history
2025-04-26 18:08:53,994 INFO    MainThread:3965 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-04-26 18:08:53,994 INFO    MainThread:3965 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-04-26 18:08:53,994 INFO    MainThread:3965 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2025-04-26 18:08:53,999 INFO    MainThread:3965 [wandb_run.py:_restore():2513] restore
2025-04-26 18:08:53,999 INFO    MainThread:3965 [wandb_run.py:_restore():2519] restore done
2025-04-26 18:08:55,426 INFO    MainThread:3965 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2025-04-26 18:08:55,426 INFO    MainThread:3965 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2025-04-26 18:08:55,427 INFO    MainThread:3965 [wandb_run.py:_footer_sync_info():4121] logging synced files
