2025-04-30 13:17:21,894 INFO    MainThread:3384 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_setup.py:_flush():68] Configure stats pid to 3384
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_setup.py:_flush():68] Loading settings from /home/ra65puy/.config/wandb/settings
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_setup.py:_flush():68] Loading settings from /home/ra65puy/Documents/Radar-Consulting/wandb/settings
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250430_131721-0qzxhdcd/logs/debug.log
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250430_131721-0qzxhdcd/logs/debug-internal.log
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:init():852] calling init triggers
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'seq_len_in': 10, 'patch_size': 64, 'stride': 32, 'reflectivity_threshold': 45, 'area_threshold': 15, 'dilation_iterations': 5, 'train_frac': 0.6, 'batch_size': 2, 'lr': 0.0002, 'hidden_dims': (128, 128), 'kernel_size': 3, 'epochs': 15, 'device': 'cuda', '_wandb': {}}
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:init():893] starting backend
2025-04-30 13:17:21,895 INFO    MainThread:3384 [wandb_init.py:init():897] sending inform_init request
2025-04-30 13:17:21,933 INFO    MainThread:3384 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-30 13:17:21,933 INFO    MainThread:3384 [wandb_init.py:init():907] backend started and connected
2025-04-30 13:17:21,935 INFO    MainThread:3384 [wandb_init.py:init():1002] updated telemetry
2025-04-30 13:17:22,193 INFO    MainThread:3384 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-30 13:17:22,914 INFO    MainThread:3384 [wandb_init.py:init():1101] starting run threads in backend
2025-04-30 13:17:24,090 INFO    MainThread:3384 [wandb_run.py:_console_start():2566] atexit reg
2025-04-30 13:17:24,090 INFO    MainThread:3384 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-30 13:17:24,091 INFO    MainThread:3384 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-30 13:17:24,091 INFO    MainThread:3384 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-30 13:17:24,138 INFO    MainThread:3384 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-30 13:17:24,139 INFO    MainThread:3384 [wandb_watch.py:_watch():71] Watching
2025-04-30 13:22:31,409 INFO    MainThread:3384 [wandb_run.py:_finish():2314] finishing run johnpierrew-Ludwig MaximilianUniversity of Munich/radar-forecasting/0qzxhdcd
2025-04-30 13:22:31,409 INFO    MainThread:3384 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2025-04-30 13:22:31,428 INFO    MainThread:3384 [wandb_run.py:_restore():2513] restore
2025-04-30 13:22:31,429 INFO    MainThread:3384 [wandb_run.py:_restore():2519] restore done
2025-04-30 13:22:32,444 INFO    MainThread:3384 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2025-04-30 13:22:32,444 INFO    MainThread:3384 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2025-04-30 13:22:32,444 INFO    MainThread:3384 [wandb_run.py:_footer_sync_info():4121] logging synced files
